msh52,msh37,msh62,msh31
msh52,msh63,msh38,msh39
msh37,msh20,msh24,msh26
msh27,msh40,msh31,msh53
msh60,msh8,msh63,msh57
msh43,msh34,msh57,msh52
msh67,msh53,msh13,msh43
msh65,msh44,msh47,msh50
msh67,msh61,msh41,msh7
msh63,msh37,msh41,msh32
msh47,msh50,msh52,msh37
msh37,msh20,msh54,msh40
msh62,msh49,msh43,msh34
msh7,msh33,msh54,msh56
msh12,msh34,msh55,msh65
